Category,Department + Course Number,Distributions
CA,COML 4471,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,COML 4615,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,COML 4627,"['CA-AS', 'ALC-AS']"
CA,COML 4771,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,COML 4810,"['CA-AS', 'GLC-AS']"
CA,COML 4861,"['CA-AS', 'GLC-AS']"
CA,COML 4902,"['CA-AS', 'ALC-AS']"
CA,COML 4996,"['CA-AS', 'ALC-AS', 'ETM-AS']"
CA,COMM 3050,"['CA-AG', 'KCM-AG']"
CA,COMM 3110,"['CA-AG', 'KCM-AG']"
CA,COMM 3150,['CA-AG']
CA,COMM 3200,['CA-AG']
CA,COMM 3560,['CA-AG']
CA,COMM 3710,"['CA-AG', 'D-AG']"
CA,COMM 3800,"['CA-AG', 'HA-AG']"
CA,COMM 4292,['CA-AG']
CA,COMM 4300,"['CA-AG', 'KCM-AG']"
CA,COMM 4360,"['CA-AG', 'SBA-AG']"
CA,COMM 5300,"['CA-AG', 'KCM-AG']"
CA,DEA 2025,"['CA-HE', 'D-HE', 'LAD-HE']"
CA,DEA 4025,"['CA-HE', 'D-HE', 'HA-HE', 'LAD-HE']"
CA,DEA 4224,"['CA-HE', 'HA-HE', 'LAD-HE']"
CA,DEA 4225,"['CA-HE', 'D-HE', 'HA-HE', 'KCM-HE', 'L']"
CA,DEA 6025,"['CA-HE', 'D-HE', 'HA-HE', 'LAD-HE']"
CA,EDUC 2410,['CA-AG']
CA,EDUC 2610,"['CA-AG', 'D-AG', 'SBA-AG']"
CA,EDUC 3110,"['CA-AG', 'KCM-AG']"
CA,EDUC 3142,['CA-AG']
CA,EDUC 4402,['CA-AG']
CA,EDUC 4720,['CA-AG']
CA,EDUC 4826,"['CA-AG', 'SBA-AG']"
CA,EDUC 5223,"['CA-AG', 'KCM-AG']"
CA,EDUC 6720,['CA-AG']
CA,ENGL 2035,"['ALC-AS', 'CA-AS']"
CA,ENGL 2512,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ENGL 2560,"['CA-AS', 'SCD-AS']"
CA,ENGL 2650,"['ALC-AS', 'CA-AS']"
CA,ENGL 2703,"['CA-AS', 'ALC-AS']"
CA,ENGL 2735,"['CA-AS', 'ALC-AS']"
CA,ENGL 2770,"['CA-AS', 'SCD-AS']"
CA,ENGL 2906,"['ALC-AS', 'CA-AS']"
CA,ENGL 2909,"['CA-AS', 'ALC-AS']"
CA,ENGL 2935,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ENGL 3240,"['CA-AS', 'ALC-AS']"
CA,ENGL 3320,"['CA-AS', 'ALC-AS']"
CA,ENGL 3440,"['CA-AS', 'ALC-AS']"
CA,ENGL 3545,"['ALC-AS', 'CA-AS']"
CA,ENGL 3565,"['CA-AS', 'ALC-AS']"
CA,ENGL 3570,"['CA-AS', 'SCD-AS']"
CA,ENGL 3734,"['CA-AS', 'ALC-AS']"
CA,ENGL 3742,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ENGL 3778,"['CA-AS', 'ALC-AS']"
CA,ENGL 3916,"['CA-AS', 'ALC-AS', 'ETM-AS']"
CA,ENGL 4260,"['CA-AS', 'ALC-AS', 'ETM-AS']"
